building_type,frequency
3+ Family Apt. Building,1568
1-2 Family Dwelling,1421
3+ Family Apartment Building,19
Vacant Lot,78
Residence,3
Vacant Building,57
Commercial Building,374
Street Area,17
Restaurant,3
Other (Explain Below),318
Parking Lot/Garage,64
1-2 Family Mixed Use Building,98
Residential Building,9
Other,4
3+ Family Mixed Use Building,206
Apartment,1
Construction Site,102
Cafeteria - Public School,1
School/Pre-School,6
Residential Property,2
1-3 Family Mixed Use Building,1
N/A,1
Government Building,9
Public Garden,7
Public Stairs,4
Single Room Occupancy (SRO),3
Catch Basin/Sewer,13
Hospital,3
Office Building,1
Day Care/Nursery,6
1-3 Family Dwelling,1
